expansion,collector_number,name,cost,type,alignment,class,subtype,tags,atk,dmg_type,health,rarity,keywords,power_text,data_status,engine_status,effects,image_path,
azeroth,19,Circle of Life,8,Ability,,Druid,,Restoration,,,,Rare,,,unchecked,,,assets\cards\circle_of_life.png,
azeroth,20,Entangling Roots,2,Ability,,Druid,,Balance,,,,Common,,Attach to target ally and exhaust it. Ongoing: Attached ally can't ready during its controller's ready step.,verified,implemented,ongoing|attach:ally:exhaust_it|attached_cannot_ready,assets\cards\entangling_roots.png,
azeroth,21,Feral Rage,5,Ability,,Druid,,Feral,,,,Rare,,,unchecked,,,assets\cards\feral_rage.png,
azeroth,22,Healing Touch,3,Ability,,Druid,,Restoration,,,,Uncommon,,,unchecked,,,assets\cards\healing_touch.png,
azeroth,23,Innervate,4,Instant Ability,,Druid,,Restoration,,,,Rare,,Target player draws three cards.,verified,implemented,draw:3,assets\cards\innervate.png,
azeroth,24,Mark of the Wild,2,Instant Ability,,Druid,,Restoration,,,,Common,,Attach to target ally. Ongoing: Attached ally has +2 ATK and +2 health.,verified,implemented,ongoing|attach:ally|attached_buff:2:2,assets\cards\mark_of_the_wild.png,
azeroth,25,Maul,2,Ability,,Druid,,Feral,,,,Uncommon,,,unchecked,,,assets\cards\maul.png,
azeroth,26,Natural Defenses,1,Ability,,Druid,,Feral,,,,Rare,,,unchecked,,,assets\cards\natural_defenses.png,
azeroth,27,Natural Selection,3,Instant Ability,,Druid,,Restoration,,,,Common,,Choose one: Your hero deals 3 nature damage to target hero or ally; or your hero heals 3 damage from target hero or ally.,verified,implemented,mode:deal_damage_to_target:3:nature|mode:heal_target:3,assets\cards\natural_selection.png,
azeroth,28,Nature's Swiftness,3,Ability,,Druid,,Restoration Talent,,,,Rare,,"Restoration Hero Required. You pay (5) less to play your next card this turn.",verified,implemented,next_card_cost_mod:-5,assets\cards\natures_swiftness.png,
azeroth,29,Predatory Strikes,1,Ability,,Druid,,Feral Talent,,,,Rare,,,unchecked,,,assets\cards\predatory_strikes.png,
azeroth,30,Primal Mending,1,Ability,,Druid,,Restoration,,,,Uncommon,,,unchecked,,,assets\cards\primal_mending.png,
azeroth,31,Starfire,6,Ability,,Druid,,Balance,,,,Rare,,Your hero deals 5 arcane damage to target hero or ally. Draw a card.,verified,implemented,deal_damage_to_target:5:arcane|draw:1,assets\cards\starfire.png,
azeroth,32,Aimed Shot,1+X,Ability,,Hunter,,Marksmanship Talent,,,,Rare,,Marksmanship Hero Required. Your hero deals X ranged damage to target hero or ally.,verified,implemented,deal_damage_to_target:X:ranged,assets\cards\aimed_shot.png,
azeroth,33,Arcane Shot,2,Instant Ability,,Hunter,,Marksmanship,,,,Common,,Your hero deals 1 arcane damage to target hero or ally. Draw a card.,verified,implemented,deal_damage_to_target:1:arcane|draw:1,assets\cards\arcane_shot.png,
azeroth,34,Aspect of the Hawk,3,Ability,,Hunter,,Beast Mastery,,,,Rare,,"Ongoing: If your hero would deal ranged damage, it deals that amount of damage plus 1 instead.",verified,implemented,ongoing|aspect:1|hero_damage_bonus_by_type:ranged:1,assets\cards\aspect_of_the_hawk.png,
azeroth,35,Bestial Wrath,1,Instant Ability,,Hunter,,Beast Mastery Talent,,,,Rare,,"Beast Mastery Hero Required. Target Pet has +3 ATK this turn. Prevent all damage that would be dealt to it this turn.",verified,implemented,buff_atk_target:pet:3|prevent_all_damage_this_turn,assets\cards\bestial_wrath.png,
azeroth,36,Bloodclaw,1,Ally,,Hunter,Pet,Raptor,3,Melee,1,Common,,,verified,implemented,,assets\cards\bloodclaw.png,
azeroth,37,Eagle Eye,2,Instant Ability,,Hunter,,Beast Mastery,,,,Uncommon,,"Look at the top four cards of your deck. Put one into your hand and the rest on the bottom of your deck.",verified,implemented,reveal_pick:Any:4:private,assets\cards\eagle_eye.png,
azeroth,38,Fury,5,Ally,,Hunter,Pet,Cat,5,Melee,3,Rare,Ferocity,Ferocity,verified,implemented,,assets\cards\fury.png,
azeroth,39,Marked for Death,2,Ability,,Hunter,,Marksmanship,,,,Uncommon,,,unchecked,,,assets\cards\marked_for_death.png,
azeroth,40,Master of the Hunt,3,Ability,,Hunter,,Beast Mastery,,,,Rare,,Ongoing: Your Pets have +2 ATK and +2 health.,verified,implemented,ongoing|pet_atk_health_aura:2:2,assets\cards\master_of_the_hunt.png,
azeroth,41,Multi-Shot,5,Instant Ability,,Hunter,,Marksmanship,,,,Rare,,Your hero deals 2 ranged damage to each of up to three target heroes and/or allies.,verified,implemented,multi_shot:2:ranged,assets\cards\multi_shot.png,
azeroth,42,Old Bones,4,Ally,,Hunter,Pet,Bear,4,Melee,4,Uncommon,,Old Bones can protect your hero.,verified,implemented,protect_hero_only,assets\cards\old_bones.png,
azeroth,43,Rapid Fire,2,Ability,,Hunter,,Marksmanship,,,,Rare,,"Whenever you strike with a Ranged weapon this turn, you may pay (1). If you do, ready that weapon and your hero.",verified,implemented,rapid_fire_ready_on_strike:1,assets\cards\rapid_fire.png,
azeroth,44,Ravenous Bite,2,Instant Ability,,Hunter,,Beast Mastery,,,,Common,,Target ally has +3 ATK this turn. Target ally has -3 ATK this turn.,verified,implemented,atk_swing:3:-3,assets\cards\ravenous_bite.png,
azeroth,45,Rayder,2,Ally,,Hunter,Pet,Wolf,2,Melee,2,Uncommon,,[activate] -> Allies in your party have +2 ATK while attacking this turn.,verified,implemented,activated_power:0:party_buff_atk_attacking:2|require_turn_player,assets\cards\rayder.png,
azeroth,46,Track Humanoids,2,Ability,,Hunter,,Survival,,,,Uncommon,,,unchecked,,,assets\cards\track_humanoids.png,
azeroth,47,Arcane Intellect,2,Ability,,Mage,,Arcane,,,,Uncommon,,"Attach to target hero, and its controller draws a card. Ongoing: Attached hero's controller's maximum hand size is increased by three.",verified,implemented,ongoing|attach:hero|attach_draw:1|attached_max_hand:3,assets\cards\arcane_intellect.png,
azeroth,48,Blink,2,Instant Ability,,Mage,,Arcane,,,,Common,,"Draw a card. If your hero is defending, remove all attackers from combat.",verified,implemented,draw:1|remove_attackers:hero_defending,assets\cards\blink.png,
azeroth,49,Brain Freeze,3,Ability,,Mage,,Frost,,,,Rare,,,unchecked,,,assets\cards\brain_freeze.png,
azeroth,50,Cold Snap,2+X,Ability,,Mage,,Frost Talent,,,,Rare,,,unchecked,,,assets\cards\cold_snap.png,
azeroth,51,Counterspell,2,Ability,,Mage,,Arcane,,,,Rare,,,unchecked,,,assets\cards\counterspell.png,
azeroth,52,Fire Blast,1,Instant Ability,,Mage,,Fire,,,,Common,,Your hero deals 2 fire damage to target hero or ally.,verified,implemented,deal_damage_to_target:2:fire,assets\cards\fire_blast.png,
azeroth,53,Fireball,4,Ability,,Mage,,Fire,,,,Uncommon,,"Attach to target hero or ally, and your hero deals 4 fire damage to it. Ongoing: At the start of your turn, your hero deals 1 fire damage to attached character.",verified,implemented,ongoing|attach:hero_or_ally|attach_deal_damage:4:fire|attached_damage_turn_start:1:fire,assets\cards\fireball.png,
azeroth,54,Flamestrike,7,Ability,,Mage,,Fire,,,,Rare,,Your hero deals 3 fire damage to each opposing hero and ally.,verified,implemented,deal_damage_aoe_opponent:3:fire,assets\cards\flamestrike.png,
azeroth,55,Frost Nova,4,Ability,,Mage,,Frost,,,,Rare,,,unchecked,,,assets\cards\frost_nova.png,
azeroth,56,Frostbolt,3,Instant Ability,,Mage,,Frost,,,,Uncommon,,Your hero deals 3 frost damage to target hero or ally. A character dealt damage this way can't attack this turn.,verified,implemented,deal_damage_to_target:3:frost:cannot_attack,assets\cards\frostbolt.png,
azeroth,57,Mana Agate,2,Ability,,Mage,,Arcane,,,,Uncommon,,"Ongoing: 1, Destroy Mana Agate -> Draw two cards.",verified,implemented,ongoing|activated_power:1:draw:2:::sacrifice_self,assets\cards\mana_agate.png,
azeroth,58,Polymorph,2,Ability,,Mage,,Arcane,,,,Common,,,unchecked,,,assets\cards\polymorph.png,
azeroth,59,Pyroblast,8,Ability,,Mage,,Fire Talent,,,,Rare,,,unchecked,,,assets\cards\pyroblast.png,
azeroth,60,Winter's Grasp,3,Ability,,Mage,,Frost,,,,Uncommon,,,unchecked,,,assets\cards\winters_grasp.png,
azeroth,61,World in Flames,8,Ability,,Mage,,Fire,,,,Rare,,"Ongoing: If your hero would deal fire damage, it deals double that amount of damage instead.",verified,implemented,ongoing|hero_fire_damage_doubled,assets\cards\world_in_flames.png,
azeroth,62,Blessing of Might,2,Ability,,Paladin,,Retribution Blessing,,,,Uncommon,,,unchecked,,,assets\cards\blessing_of_might.png,
azeroth,63,Blessing of Protection,2,Ability,,Paladin,,Protection Blessing,,,,Uncommon,,,unchecked,,,assets\cards\blessing_of_protection.png,
azeroth,64,Blessing of Wisdom,5,Ability,,Paladin,,Holy Blessing,,,,Rare,,,unchecked,,,assets\cards\blessing_of_wisdom.png,
azeroth,65,Cleanse,1,Ability,,Paladin,,Holy,,,,Uncommon,,,unchecked,,,assets\cards\cleanse.png,
azeroth,66,Devotion Aura,5,Ability,,Paladin,,Protection,,,,Rare,,,unchecked,,,assets\cards\devotion_aura.png,
azeroth,67,Divine Shield,3,Ability,,Paladin,,Holy,,,,Rare,,,unchecked,,,assets\cards\divine_shield.png,
azeroth,68,Hammer of Justice,2,Ability,,Paladin,,Protection,,,,Common,,,unchecked,,,assets\cards\hammer_of_justice.png,
azeroth,69,Holy Light,3,Ability,,Paladin,,Holy,,,,Common,,,unchecked,,,assets\cards\holy_light.png,
azeroth,70,Holy Shield,2,Ability,,Paladin,,Protection Talent,,,,Rare,,,unchecked,,,assets\cards\holy_shield.png,
azeroth,71,Retribution Aura,5,Ability,,Paladin,,Retribution,,,,Rare,,,unchecked,,,assets\cards\retribution_aura.png,
azeroth,72,Sacred Duty,3,Ability,,Paladin,,Protection,,,,Common,,,unchecked,,,assets\cards\sacred_duty.png,
azeroth,73,Seal of Light,3,Ability,,Paladin,,Holy,,,,Uncommon,,,unchecked,,,assets\cards\seal_of_light.png,
azeroth,74,Seal of Wisdom,3,Ability,,Paladin,,Holy,,,,Rare,,,unchecked,,,assets\cards\seal_of_wisdom.png,
azeroth,75,Touched by Light,1,Ability,,Paladin,,Holy,,,,Uncommon,,,unchecked,,,assets\cards\touched_by_light.png,
azeroth,76,Chastise,2,Ability,,Priest,,Holy,,,,Uncommon,,,unchecked,,,assets\cards\chastise.png,
azeroth,77,Dispel Magic,1,Instant Ability,,Priest,,Discipline,,,,Uncommon,,Destroy target ability.,verified,implemented,destroy_target:ability,assets\cards\dispel_magic.png,
azeroth,78,Flash Heal,1,Ability,,Priest,,Holy,,,,Common,,,unchecked,,,assets\cards\flash_heal.png,
azeroth,79,Heal,2,Ability,,Priest,,Holy,,,,Uncommon,,,unchecked,,,assets\cards\heal.png,
azeroth,80,Mind Blast,5,Ability,,Priest,,Shadow,,,,Rare,,Your hero deals 2 shadow damage to target hero or ally. Its controller discards a card for each damage dealt.,verified,implemented,deal_damage_to_target:2:shadow|discard_per_damage:1,assets\cards\mind_blast.png,
azeroth,81,Mind Control,2+X,Ability,,Priest,,Shadow,,,,Rare,,,unchecked,,,assets\cards\mind_control.png,
azeroth,82,Mind Spike,2,Ability,,Priest,,Shadow,,,,Common,,Your hero deals 1 shadow damage to target hero or ally. Its controller discards a card for each damage dealt.,verified,implemented,deal_damage_to_target:1:shadow|discard_per_damage:1,assets\cards\mind_spike.png,
azeroth,83,Power Word: Fortitude,3,Ability,,Priest,,Discipline,,,,Common,,,unchecked,,,assets\cards\power_word_fortitude.png,
azeroth,84,Prayer of Healing,3,Ability,,Priest,,Holy,,,,Uncommon,,,unchecked,,,assets\cards\prayer_of_healing.png,
azeroth,85,Psychic Scream,6,Ability,,Priest,,Shadow,,,,Rare,,,unchecked,,,assets\cards\psychic_scream.png,
azeroth,86,Resurrection,4,Ability,,Priest,,Holy,,,,Rare,,,unchecked,,,assets\cards\resurrection.png,
azeroth,87,Shadow Word: Pain,3,Instant Ability,,Priest,,Shadow,,,,Uncommon,,"Attach to target hero or ally, and its controller discards a card. Ongoing: At the start of your turn, your hero deals 1 shadow damage to attached character.",verified,implemented,ongoing|attach:hero_or_ally|attach_discard_controller:1|attached_damage_turn_start:1:shadow,assets\cards\shadow_word_pain.png,
azeroth,88,Shadowform,3,Ability,,Priest,,Shadow Talent,,,,Rare,,"Shadow Hero Required. Ongoing: If your hero would deal shadow damage, it deals that amount of damage plus 1 instead. When you play a Holy ability, destroy Shadowform.",verified,implemented,ongoing|form:1|hero_damage_bonus_by_type:shadow:1|form_break_on:Holy,assets\cards\shadowform.png,
azeroth,89,Smite,5,Ability,,Priest,,Holy,,,,Rare,,,unchecked,,,assets\cards\smite.png,
azeroth,90,Spiritual Healing,2,Ability,,Priest,,Holy Talent,,,,Rare,,,unchecked,,,assets\cards\spiritual_healing.png,
azeroth,91,Backstab,3,Ability,,Rogue,,Combat Combo,,,,Rare,,,unchecked,,,assets\cards\backstab.png,
azeroth,92,Cold Blood,1,Instant Ability,,Rogue,,Assassination Talent,,,,Rare,,"Assassination Hero Required. Draw a card. When your hero deals damage to an ally this turn, destroy that ally.",verified,implemented,draw:1|hero_damage_destroys_ally_this_turn,assets\cards\cold_blood.png,
azeroth,93,Coup de Grace,2,Ability,,Rogue,,Assassination,,,,Common,,Destroy target exhausted ally.,verified,implemented,destroy_target:exhausted_ally,assets\cards\coup_de_grace.png,
azeroth,94,Crippling Poison,1,Ability,,Rogue,,Poison,,,,Uncommon,,,unchecked,,,assets\cards\crippling_poison.png,
azeroth,95,Deadly Poison,1,Ability,,Rogue,,Poison,,,,Uncommon,,,unchecked,,,assets\cards\deadly_poison.png,
azeroth,96,Dismantle,2,Ability,,Rogue,,Combat,,,,Uncommon,,,unchecked,,,assets\cards\dismantle.png,
azeroth,97,Eviscerate,2,Ability,,Rogue,,Assassination Finishing Move,,,,Rare,,,unchecked,,,assets\cards\eviscerate.png,
azeroth,98,Expose Armor,2,Ability,,Rogue,,Assassination Finishing Move,,,,Rare,,,unchecked,,,assets\cards\expose_armor.png,
azeroth,99,Gouge,1,Instant Ability,,Rogue,,Combat Combo,,,,Common,,Exhaust target hero or ally. It can't ready during its controller's next ready step.,verified,implemented,exhaust_target:hero_or_ally|gouge_cant_ready,assets\cards\gouge.png,
azeroth,100,Lobotomize,5,Ability,,Rogue,,Combat,,,,Rare,,,unchecked,,,assets\cards\lobotomize.png,
azeroth,101,Premeditation,4,Ability,,Rogue,,Subtlety Talent,,,,Rare,,,unchecked,,,assets\cards\premeditation.png,
azeroth,102,Sinister Strike,2,Ability,,Rogue,,Combat Combo,,,,Common,,,unchecked,,,assets\cards\sinister_strike.png,
azeroth,103,Stealth,1,Ability,,Rogue,,Subtlety,,,,Uncommon,,,unchecked,,,assets\cards\stealth.png,
azeroth,104,Veil of Night,3,Ability,,Rogue,,Subtlety,,,,Rare,,,unchecked,,,assets\cards\veil_of_night.png,
azeroth,105,Waylay,2,Ability,,Rogue,,Assassination Combo,,,,Uncommon,,,unchecked,,,assets\cards\waylay.png,
azeroth,106,Chain Lightning,5,Ability,,Shaman,,Elemental,,,,Rare,,Your hero deals 3 nature damage to target hero or ally. Your hero may deal 2 nature damage to another hero or ally. Your hero may deal 1 nature damage to another hero or ally.,verified,implemented,chain_lightning:3:2:1:nature,assets\cards\chain_lightning.png,
azeroth,107,Earthbind Totem,2,Instant Ability,,Shaman,Elemental,Earth Totem (1),0,,1,Uncommon,,Totem (Can be attacked or targeted like an ally.) Ongoing: Opposing allies can't ready during their controllers' ready step.,verified,implemented,ongoing|totem:earth|opposing_allies_cant_ready,assets\cards\earthbind_totem.png,
azeroth,108,Elemental Focus,2,Ability,,Shaman,,Elemental Talent,,,,Rare,,"Elemental Hero Required. Ongoing: You pay (1) less to play Elemental abilities, to a minimum of (1).",verified,implemented,ongoing|ability_cost_mod_by_tag:Elemental:-1:1,assets\cards\elemental_focus.png,
azeroth,109,Frost Shock,2,Instant Ability,,Shaman,,Elemental,,,,Common,,Your hero deals 2 frost damage to target hero or ally. A character dealt damage this way can't attack or protect this turn.,verified,implemented,deal_damage_to_target:2:frost:cannot_attack+cannot_protect,assets\cards\frost_shock.png,
azeroth,110,Ghost Wolf,2,Ability,,Shaman,,Enhancement,,,,Uncommon,,,unchecked,,,assets\cards\ghost_wolf.png,
azeroth,111,Healing Stream Totem,1,Instant Ability,,Shaman,Restoration,Water Totem (1),0,,1,Uncommon,,"Totem (Can be attacked or targeted like an ally.) Ongoing: At the start of each turn, Healing Stream Totem heals 1 damage from each hero and ally in your party.",verified,implemented,ongoing|totem:water|heal_party_each_turn:1,assets\cards\healing_stream_totem.png,
azeroth,112,Healing Wave,3,Ability,,Shaman,,Restoration,,,,Common,,,unchecked,,,assets\cards\healing_wave.png,
azeroth,113,Lightning Bolt,3,Ability,,Shaman,,Elemental,,,,Common,,Your hero deals 4 nature damage to target hero or ally.,verified,implemented,deal_damage_to_target:4:nature,assets\cards\lightning_bolt.png,
azeroth,114,Purge,1,Instant Ability,,Shaman,,Elemental,,,,Uncommon,,Destroy target ability unless it's attached to a friendly hero or ally.,verified,implemented,destroy_target:ability|except_friendly_attached,assets\cards\purge.png,
azeroth,115,Rockbiter Weapon,2,Ability,,Shaman,,Enhancement,,,,Rare,,,unchecked,,,assets\cards\rockbiter_weapon.png,
azeroth,116,Searing Totem,2,Instant Ability,,Shaman,Elemental,Fire Totem (1),0,Fire,1,Uncommon,,"Totem (Can be attacked or targeted like an ally.) Ongoing: At the start of each turn, Searing Totem deals 1 fire damage to target hero or ally.",verified,implemented,ongoing|totem:fire|ongoing_damage_each_turn:1:fire,assets\cards\searing_totem.png,
azeroth,117,Totemic Call,4,Ability,,Shaman,,Elemental,,,,Rare,,,unchecked,,,assets\cards\totemic_call.png,
azeroth,118,Windfury Totem,4,Instant Ability,,Shaman,Enhancement,Air Totem (1),0,,1,Rare,,"Totem (Can be attacked or targeted like an ally.) Ongoing: When each hero or ally in your party attacks for the first time each turn, you may pay (1). If you do, ready that character.",verified,implemented,ongoing|totem:air|party_ready_on_attack:1,assets\cards\windfury_totem.png,
azeroth,119,Windfury Weapon,2,Instant Ability,,Shaman,Enhancement,,,,,Rare,,"Attach to one of your Melee weapons. Ongoing: When you strike with attached weapon for the first time each turn, you may pay (1). If you do, ready that weapon and your hero.",verified,implemented,ongoing|attach:melee_weapon|ready_on_strike:1,assets\cards\windfury_weapon.png,
azeroth,120,Corruption,2,Ability,,Warlock,,Affliction,,,,Uncommon,,,unchecked,,,assets\cards\corruption.png,
azeroth,121,Curse of Agony,5,Ability,,Warlock,,Affliction Curse,,,,Rare,,,unchecked,,,assets\cards\curse_of_agony.png,
azeroth,122,Dark Pact,2,Ability,,Warlock,,Affliction Talent,,,,Rare,,,unchecked,,,assets\cards\dark_pact.png,
azeroth,123,Fear,1,Ability,,Warlock,,Affliction,,,,Common,,,unchecked,,,assets\cards\fear.png,
azeroth,124,Forbidden Knowledge,8,Ability,,Warlock,,Demonology,,,,Rare,,,unchecked,,,assets\cards\forbidden_knowledge.png,
azeroth,125,Grimdron,1,Ally,,Warlock,Pet,Imp Demon,0,Fire,1,Uncommon,Elusive,"Activate, exhaust: Grimdron deals 1 fire damage to target hero or ally.",verified,implemented,activated_power:1:deal_damage_to_target:1:fire:hero_or_ally,assets\cards\grimdron.png,
azeroth,126,Helwen,4,Ally,,Warlock,Pet,Succubus Demon,2,Shadow,2,Rare,,,unchecked,,,assets\cards\helwen.png,
azeroth,127,Infernal,6,Ally,,Warlock,Pet,Infernal Demon,6,Fire,6,Rare,,"At the start of your turn, discard a card, or target opponent gains control of Infernal. At the end of your turn, Infernal deals 1 fire damage to each opposing hero and ally.",verified,implemented,turn_start_discard_or_give_control|end_of_turn_damage_opposing:1:fire,assets\cards\infernal.png,
azeroth,128,Life Tap,2,Ability,,Warlock,,Affliction,,,,Uncommon,,,unchecked,,,assets\cards\life_tap.png,
azeroth,129,Rain of Fire,4,Ability,,Warlock,,Destruction,,,,Rare,,,unchecked,,,assets\cards\rain_of_fire.png,
azeroth,130,Sarmoth,3,Ally,,Warlock,Pet,Voidwalker Demon,1,Shadow,5,Common,,Opposing heroes and allies can attack only this ally if able.,verified,implemented,sarmoth_taunt,assets\cards\sarmoth.png,
azeroth,131,Sever the Cord,2,Instant Ability,,Warlock,,Demonology,,,,Common,,"As an additional cost to play Sever the Cord, destroy an ally in your party. Destroy target ally.",verified,implemented,destroy_target:ally|play_cost_sacrifice_ally,assets\cards\sever_the_cord.png,
azeroth,132,Shadow Bolt,3,Ability,,Warlock,,Destruction,,,,Uncommon,,,unchecked,,,assets\cards\shadow_bolt.png,
azeroth,133,Soul Link,4,Ability,,Warlock,,Demonology Talent,,,,Rare,,,unchecked,,,assets\cards\soul_link.png,
azeroth,134,Steal Essence,2,Instant Ability,,Warlock,,Affliction,,,,Uncommon,,Your hero deals 2 shadow damage to target hero or ally and heals 1 damage from itself for each damage dealt.,verified,implemented,deal_damage_to_target:2:shadow|drain_heal_per_damage:1,assets\cards\steal_essence.png,
azeroth,135,Battle Shout,3,Ability,,Warrior,,Fury Shout,,,,Common,,,unchecked,,,assets\cards\battle_shout.png,
azeroth,136,Berserker Stance,3,Ability,,Warrior,,Fury,,,,Rare,,,unchecked,,,assets\cards\berserker_stance.png,
azeroth,137,Charge,1,Ability,,Warrior,,Arms,,,,Uncommon,,,unchecked,,,assets\cards\charge.png,
azeroth,138,Cleave,4,Ability,,Warrior,,Arms,,,,Rare,,,unchecked,,,assets\cards\cleave.png,
azeroth,139,Defensive Stance,3,Ability,,Warrior,,Protection,,,,Rare,,,unchecked,,,assets\cards\defensive_stance.png,
azeroth,140,Demoralizing Shout,3,Ability,,Warrior,,Fury Shout,,,,Uncommon,,,unchecked,,,assets\cards\demoralizing_shout.png,
azeroth,141,Execute,1,Ability,,Warrior,,Fury,,,,Common,,,unchecked,,,assets\cards\execute.png,
azeroth,142,Heroic Strike,1,Ability,,Warrior,,Arms,,,,Uncommon,,,unchecked,,,assets\cards\heroic_strike.png,
azeroth,143,Last Stand,1,Ability,,Warrior,,Protection Talent,,,,Rare,,,unchecked,,,assets\cards\last_stand.png,
azeroth,144,Mocking Blow,1,Ability,,Warrior,,Arms,,,,Rare,,,unchecked,,,assets\cards\mocking_blow.png,
azeroth,145,Mortal Strike,2,Ability,,Warrior,,Arms Talent,,,,Rare,,,unchecked,,,assets\cards\mortal_strike.png,
azeroth,146,Rend,1,Ability,,Warrior,,Arms,,,,Common,,,unchecked,,,assets\cards\rend.png,
azeroth,147,Shield Bash,3,Ability,,Warrior,,Fury,,,,Rare,,,unchecked,,,assets\cards\shield_bash.png,
azeroth,148,Stalwart Protector,1,Ability,,Warrior,,Protection,,,,Uncommon,,,unchecked,,,assets\cards\stalwart_protector.png,
azeroth,149,Sunder Armor,1,Ability,,Warrior,,Protection,,,,Uncommon,,,unchecked,,,assets\cards\sunder_armor.png,
azeroth,150,Face Smash,4,Ability,Alliance,,,,,,,Common,,,unchecked,,,assets\cards\face_smash.png,
